uid,E-CPV Error,E-CPV Uncertainty,E-MHA Error,E-MHA Uncertainty,S-MHA Error,S-MHA Uncertainty,Validation Fold,Testing Fold,E-CPV Uncertainty bins,E-MHA Uncertainty bins,S-MHA Uncertainty bins
PHD_4160,7.28011,6.869598722457885,7.81025,0.1458184031827841,4.0,0.6909293581337449,4,3,3,4,3
PHD_4167,12.0415945,2.4,13.038404,0.8913288235664367,12.0415945,1.596079481482766,4,3,1,0,0
PHD_4178,2.828427,3.062751054763794,3.0,0.6456619329750538,3.0,1.3303968690584222,4,3,2,1,1
PHD_4183,6.4031243,2.566464805603028,5.8309517,0.7872644543647767,5.8309517,1.85564889087674,4,3,1,0,0
PHD_4198,2.0,1.5313708305358886,2.0,0.6930157542228699,2.0,1.1906645300777006,4,3,0,0,1
PHD_4199,9.486833,3.38020932674408,10.770329,0.6006692718248814,12.649111,1.2161032834557264,4,3,3,1,1
PHD_4221,15.132746,3.214927625656128,17.117243,0.6607116244733333,15.033297,1.1846753867248825,4,3,2,1,1
PHD_4225,27.58623,64.55093460083008,52.0,0.0239002510905265,24.083189,0.1114609118609159,4,3,4,4,4
PHD_4236,11.7046995,6.250989365577698,12.165525,0.0906149245449341,12.369317,0.177144407763612,4,3,3,4,4
PHD_4264,4.1231055,0.8828427076339722,4.0,1.282955265045166,3.6055512,1.590386284316188,4,3,0,0,0
PHD_4265,7.28011,1.7696383714675905,6.3245554,0.7444593250751496,8.246211,1.2829599898445057,4,3,0,0,1
PHD_4267,4.1231055,3.3464608192443848,3.6055512,0.3716390756890178,3.6055512,1.165882718193155,4,3,2,3,1
PHD_4268,5.0990195,7.252909803390503,5.0,0.3100590540096163,4.1231055,0.9494737662196524,4,3,3,3,2
PHD_4270,6.708204,3.753565788269043,6.708204,0.3537782579660415,8.485281,1.2275017045574017,4,3,3,3,1
PHD_4284,10.29563,4.105069637298584,7.071068,0.433314873278141,8.602325,1.6329597212366411,4,3,3,2,0
PHD_4285,4.472136,2.1740963459014893,2.236068,0.4695942707359791,5.0,0.8022321213544747,4,3,0,2,3
PHD_4290,2.0,4.151021194458008,2.236068,0.192165941496205,1.0,0.5529041825770293,4,3,3,4,4
PHD_4307,9.055386,1.64721360206604,10.049875,1.2088751792907717,10.049875,2.221058198801129,4,3,0,0,0
PHD_4309,2.236068,2.134009265899658,1.0,0.9126766443252564,2.0,1.0650464526483463,4,3,0,0,1
PHD_4313,5.0,2.283622097969056,5.0,0.8013833522796631,3.1622777,1.6180615087472252,4,3,1,0,0
PHD_4315,7.2111025,5.095277261734009,7.28011,0.2649462567642331,7.28011,0.9896546177766076,4,3,3,4,2
PHD_4316,5.3851647,1.4128990173339844,4.472136,0.6595735251903534,5.0,1.3281919335684655,4,3,0,1,1
PHD_4318,2.236068,4.301286268234253,2.0,0.354294915497303,8.0,0.8015176017423189,4,3,3,3,3
PHD_4330,1.0,0.8,1.0,0.9544054269790648,1.4142135,1.0936591958574446,4,3,0,0,1
PHD_4341,8.602325,3.001891016960144,9.433981,0.7208713993430138,10.816654,1.2255725901328034,4,3,2,0,1
PHD_4349,11.045361,10.69503755569458,5.8309517,0.3967835419967741,10.770329,0.6400099469721402,4,3,4,3,3
PHD_4362,5.0,2.58885440826416,5.3851647,0.2671170769259333,4.0,1.040538687456093,4,3,1,4,2
PHD_4368,3.6055512,2.24721360206604,4.2426405,0.8560951292514801,5.0,1.301089211123298,4,3,0,0,1
PHD_4370,66.1211,48.87052612304687,7.81025,0.0792020998895168,107.563934,0.1570498360447813,4,3,4,4,4
PHD_4372,12.806249,2.8564340353012083,12.0415945,0.7541624069213867,11.401754,0.9429002520195996,4,3,1,0,2
PHD_4382,5.3851647,2.6493075132369994,5.0,0.2763563927263021,2.236068,0.5861082342264508,4,3,1,4,4
PHD_4387,7.071068,3.204520058631897,6.4031243,0.6377565294504166,5.8309517,1.1452643227659278,4,3,2,1,1
PHD_4393,2.0,1.6957417249679565,3.1622777,0.829104682803154,3.1622777,1.1184456122595527,4,3,0,0,1
PHD_4399,2.0,3.065158462524414,4.2426405,0.8250577509403229,2.236068,1.5551027467211802,4,3,2,0,0
PHD_4403,4.1231055,3.062751054763794,5.0990195,0.8379351787269116,7.2111025,0.905765606703828,4,3,2,0,2
PHD_4404,7.071068,1.5313708305358886,7.071068,0.7151873171329498,7.28011,0.9979473499514142,4,3,0,0,2
PHD_4412,5.0,2.3545398235321047,7.2111025,0.488121297955513,5.0990195,0.6566306541288199,4,3,1,2,3
PHD_4415,3.6055512,2.7313708305358886,3.1622777,0.8893319487571716,3.0,1.5770181916524724,4,3,1,0,0
PHD_4417,1.4142135,5.364328289031983,3.6055512,0.2340689710341394,8.062258,0.6243079100050007,4,3,3,4,4
PHD_4420,4.0,2.275787663459778,4.1231055,0.4891601741313934,4.0,0.9232585167734698,4,3,1,2,2
PHD_4423,4.2426405,1.7625118494033811,4.472136,0.8497871160507202,5.656854,1.5872414809407769,4,3,0,0,0
PHD_4426,8.0,5.759893846511841,6.3245554,0.2545011589303613,6.3245554,0.6725739664619111,4,3,3,4,3
PHD_4435,4.472136,2.701009178161621,3.1622777,0.6420960754156113,5.0990195,1.3822387962247678,4,3,1,1,0
PHD_4437,7.071068,1.5625118494033814,7.28011,0.6109860420227051,7.071068,0.6351023049931847,5,4,0,2,2
PHD_4440,5.0990195,2.362511849403381,5.0990195,0.2663904479704797,7.071068,0.2871928335717962,5,4,1,3,4
PHD_4451,4.2426405,1.3152982473373414,4.2426405,0.538822603225708,4.2426405,0.6314945725105575,5,4,0,2,2
PHD_4455,8.062258,4.293073081970215,5.0,0.2247012823820114,5.0,0.6188273302852395,5,4,3,3,3
PHD_4458,1.0,2.1152982473373414,1.4142135,0.64486173838377,2.236068,0.2563511659653072,5,4,1,1,4
PHD_4462,6.708204,1.9981409549713127,6.708204,0.2995637536048889,6.708204,0.4703519045956122,5,4,1,3,3
PHD_4466,4.472136,1.331370830535889,4.472136,0.8167708158493042,7.2111025,0.9575657384280148,5,4,0,0,1
PHD_4474,88.68484,3.056939053535461,90.73588,0.1386186999035999,85.58621,0.4589474696231991,5,4,3,4,3
PHD_4481,2.0,1.7656854152679444,1.4142135,0.8948818564414978,1.4142135,1.0065885042232163,5,4,1,0,1
PHD_4482,16.970562,4.2360679626464846,18.601076,0.639619255065918,15.0,0.8223221199979647,5,4,3,2,1
PHD_4484,18.439089,1.44721360206604,18.681541,0.304103784263134,18.681541,0.2746639994626036,5,4,0,3,4
PHD_4496,6.0827627,3.642069578170776,8.246211,0.3750960633158683,4.472136,0.1110615700572209,5,4,3,3,4
PHD_4498,5.0990195,2.1268827438354494,4.472136,0.5204174995422364,3.0,0.9242079066475496,5,4,1,2,1
PHD_4501,6.0827627,5.957719516754151,3.0,0.36281394707039,6.4031243,0.4624774477061451,5,4,3,3,3
PHD_4506,3.1622777,1.8601126194000244,4.1231055,0.5578469790518283,2.0,1.0311825227882747,5,4,1,2,1
PHD_4512,6.0827627,5.959770011901855,5.0990195,0.3036369249224663,3.1622777,0.7078538278698481,5,4,3,3,2
PHD_4523,2.828427,3.462751054763794,6.0,0.3620294803977231,6.0,0.8551083646159441,5,4,3,3,1
PHD_4532,6.0827627,2.492568159103393,7.0,0.3499494850635528,4.0,0.1806008968036394,5,4,2,3,4
PHD_4535,53.263496,75.74262847900391,241.6154,0.0623760879039764,241.6154,0.3118804477162314,5,4,4,4,4
PHD_4542,5.0,6.481831979751587,6.708204,0.0234039021095668,11.18034,0.0245216286585793,5,4,3,4,4
PHD_4553,7.28011,1.7656854152679444,5.3851647,0.7362399101257324,7.0,0.9846123572943696,5,4,1,1,1
